ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,"Zephaniah 1:1",,,,,,,,
2,"Zephaniah 1:2",,,,,,,,
3,"Zephaniah 1:3",,,,,,,,
4,"Zephaniah 1:4",,,,,,,,
5,"Zephaniah 1:5",,,,,,,,
6,"Zephaniah 1:6",,,,,,,,
7,"Zephaniah 1:7",,,,,,,,
8,"Zephaniah 1:8",,,,,,,,
9,"Zephaniah 1:9",,,,,,,,
10,"Zephaniah 1:10",,,,,,,,
11,"Zephaniah 1:11",,,,,,,,
12,"Zephaniah 1:12",,,,,,,,
13,"Zephaniah 1:13",,,,,,,,
14,"Zephaniah 1:14",,,,,,,,
15,"Zephaniah 1:15",,,,,,,,
16,"Zephaniah 1:16",,,,,,,,
17,"Zephaniah 1:17",,,,,,,,
18,"Zephaniah 1:18",,,,,,,,
19,"Zephaniah 2:1",,,,,,,,
20,"Zephaniah 2:2",,,,,,,,
21,"Zephaniah 2:3",,,,,,,,
22,"Zephaniah 2:4",,,,,,,,
23,"Zephaniah 2:5",,,,,,,,
24,"Zephaniah 2:6",,,,,,,,
25,"Zephaniah 2:7",,,,,,,,
26,"Zephaniah 2:8",,,,,,,,
27,"Zephaniah 2:9",,,,,,,,
28,"Zephaniah 2:10",,,,,,,,
29,"Zephaniah 2:11",,,,,,,,
30,"Zephaniah 2:12",,,,,,,,
31,"Zephaniah 2:13",,,,,,,,
32,"Zephaniah 2:14",,,,,,,,
33,"Zephaniah 2:15",,,,,,,,
34,"Zephaniah 3:1",,,,,,,,
35,"Zephaniah 3:2",,,,,,,,
36,"Zephaniah 3:3",,,,,,,,
37,"Zephaniah 3:4",,,,,,,,
38,"Zephaniah 3:5",,,,,,,,
39,"Zephaniah 3:6",,,,,,,,
40,"Zephaniah 3:7",,,,,,,,
41,"Zephaniah 3:8",,,,,,,,
42,"Zephaniah 3:9",,,,,,,,
43,"Zephaniah 3:10",,,,,,,,
44,"Zephaniah 3:11",,,,,,,,
45,"Zephaniah 3:12",,,,,,,,
46,"Zephaniah 3:13",,,,,,,,
47,"Zephaniah 3:14",,,,,,,,
48,"Zephaniah 3:15",,,,,,,,
49,"Zephaniah 3:16",,,,,,,,
50,"Zephaniah 3:17",,,,,,,,
51,"Zephaniah 3:18",,,,,,,,
52,"Zephaniah 3:19",,,,,,,,
53,"Zephaniah 3:20",,,,,,,,
